关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态
桂林油茶,早餐,250,一碗约250ml，作为早餐,冲泡,原味,待审核
百色酸汤鱼,晚餐,400,一份（整鱼），可食部分约400g,煮制,酸辣,待审核
南宁炸酿豆腐,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核
河池竹筒饭,午餐,300,一份约300g,蒸制,原味,待审核
武鸣芋头扣肉,晚餐,250,一份约250g,蒸制,咸鲜,待审核
螺蛳肉粽,加餐,200,一个约200g，作为小吃,煮制,咸鲜,待审核
酿苦瓜,晚餐,250,一份约250g,蒸制,咸鲜,待审核
玫瑰花糕,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核
过桥豆花,午餐,300,一碗约300g,煮制,香辣,待审核
汽锅牛肉,晚餐,300,一份（汽锅），可食部分约300g,蒸制,鲜香,待审核
凉拌米线,午餐,300,一碗约300g,凉拌,酸辣,待审核
火腿炒饵块,午餐,300,一份约300g,炒制,咸鲜,待审核
油炸柿子饼,加餐,100,一个约100g，作为小吃,油炸,甜味,待审核
汉中面皮汤,午餐,350,一碗约350g,煮制,香辣,待审核
秦腔蒸肉包,早餐,150,一个约150g，作为早餐,蒸制,咸鲜,待审核
孜然羊肉夹馍,午餐,200,一个约200g,烤制,孜然,待审核
岐山醋鱼,晚餐,300,一份（整鱼），可食部分约300g,炖煮,酸辣,待审核
新疆炸南瓜饼,加餐,100,一份约100g，作为小吃,油炸,甜味,待审核
羊肺汤,晚餐,300,一碗约300g（含汤）,煮制,鲜香,待审核
酸奶米布丁,加餐,200,一份约200g，作为甜品,其他,甜味,待审核
羊肉馕炒,午餐,300,一份约300g,炒制,孜然,待审核
新疆抓饭汤,午餐,350,一碗约350g,煮制,孜然,待审核
荷叶糯米饭,午餐,300,一份约300g,蒸制,咸鲜,待审核
蟹粉狮子头,晚餐,250,一个约250g,炖煮,鲜香,待审核
香菇烤麸,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核
阳春面,午餐,350,一碗约350g,煮制,咸鲜,待审核
上海熏鸭,晚餐,250,一份，可食部分约250g,炖煮,五香,待审核
北京地瓜球,加餐,100,一份约100g，作为小吃,油炸,甜味,待审核
炸肝饼,加餐,100,一份约100g，作为小吃,油炸,咸鲜,待审核
豆酱面汤,午餐,350,一碗约350g,煮制,咸鲜,待审核
炸酱包,加餐,100,一个约100g，作为小吃,油炸,咸鲜,待审核
京酱肉丝,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
石台炒米粿,加餐,150,一份约150g，作为小吃,炒制,咸鲜,待审核
淮南豆腐面,午餐,350,一碗约350g,煮制,鲜香,待审核
祁门蒸饺,午餐,250,一份约250g（10只）,蒸制,咸鲜,待审核
徽州笋干烧肉,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
无为熏鱼,加餐,150,一份约150g，作为凉菜,炖煮,五香,待审核
山东葱油饼,早餐,150,一份约150g，作为早餐,煎制,咸鲜,待审核
烟台花生酥,加餐,80,一份约80g，作为零食,油炸,甜味,待审核
青岛蛤蜊面,午餐,400,一碗约400g,煮制,鲜香,待审核
山东烤鱿鱼串,加餐,150,一份约150g（4-5串）,烤制,孜然,待审核
鲁式扒鸡,晚餐,300,一份（半只），可食部分约300g,炖煮,五香,待审核
扬州三套早,早餐,300,一份约300g，作为早餐,煮制,咸鲜,待审核
苏州水晶虾仁,晚餐,250,一份，可食部分约250g,炒制,鲜香,待审核
鸭血卷粉,午餐,300,一碗约300g,煮制,鲜香,待审核
无锡糖醋排骨,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核
扬州狮子头火锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核
马拉糕,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核
虾米韭黄肠粉,早餐,250,一份约250g，作为早餐,蒸制,鲜香,待审核
牛丸汤,午餐,350,一碗约350g（含汤）,煮制,鲜香,待审核
蒜蓉粉丝蒸扇贝,晚餐,200,一份约200g（6只）,蒸制,蒜香,待审核
蛇羹,晚餐,300,一碗约300g（含汤）,煮制,鲜香,待审核
四川烤鱼,晚餐,500,一份（整鱼），可食部分约500g,烤制,麻辣,待审核
担担饭,午餐,350,一份约350g,凉拌,麻辣,待审核
四川糍粑,加餐,150,一份约150g，作为甜点,煎制,甜味,待审核
泡椒凤爪,加餐,200,一份约200g，作为小吃,凉拌,酸辣,待审核
麻婆茄子,晚餐,300,一份约300g,煮制,麻辣,待审核
