关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态
烤羊腿,晚餐,350,一份，可食部分约350g,烤制,孜然,待审核
蒙古羊杂碎,午餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
焖羊肉,晚餐,300,一份，可食部分约300g,炖煮,原味,待审核
黄油卷子,早餐,150,一份约150g，作为早餐,蒸制,原味,待审核
驼掌,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核
蒙古果子,早餐,100,一份约100g，作为早餐,油炸,甜味,待审核
蒙古炒米,加餐,100,一份约100g，作为零食,其他,原味,待审核
呼和浩特稍麦,早餐,200,一笼约200g（6只），作为早餐,蒸制,鲜香,待审核
安阳三熏,加餐,150,一份约150g，作为熟食/配餐,其他,五香,待审核
开封炒凉粉,加餐,200,一份约200g，作为小吃,炒制,香辣,待审核
新乡红焖羊肉,晚餐,350,一份，可食部分约350g,炖煮,香辣,待审核
濮阳壮馍,午餐,250,一份约250g,煎制,咸鲜,待审核
信阳固始鹅块,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核
洛阳浆面条,午餐,300,一碗约300g,煮制,酸辣,待审核
许昌热豆腐,加餐,200,一份约200g，作为小吃,煮制,香辣,待审核
郏县饸饹面,午餐,350,一碗约350g,煮制,鲜香,待审核
遵义羊肉粉,午餐,400,一碗约400g（含汤）,煮制,鲜香,待审核
花溪牛肉粉,午餐,400,一碗约400g（含汤）,煮制,鲜香,待审核
凯里酸汤牛肉,晚餐,350,一份，可食部分约350g（含汤）,煮制,酸辣,待审核
毕节汤圆,加餐,200,一碗约200g，作为甜品,煮制,甜味,待审核
安顺裹卷,加餐,200,一份约200g，作为小吃,其他,酸辣,待审核
侗家腌鱼,晚餐,250,一份，可食部分约250g,蒸制,酸辣,待审核
榕江卷粉,加餐,200,一份约200g，作为小吃,蒸制,酸辣,待审核
水城烙锅,晚餐,350,一份烙锅，食材约350g（不含汤）,煎制,香辣,待审核
遵义豆花面,午餐,350,一碗约350g,煮制,香辣,待审核
苗家酸汤粉,午餐,350,一碗约350g（含汤）,煮制,酸辣,待审核
天津锅巴菜,早餐,250,一碗约250g，作为早餐,煮制,咸鲜,待审核
耳朵眼炸糕,加餐,100,一个约100g，作为点心,油炸,甜味,待审核
罾蹦鲤鱼,晚餐,350,一份（整鱼），可食部分约350g,油炸,酸甜,待审核
老爆三,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
天津打卤面,午餐,350,一碗约350g,煮制,咸鲜,待审核
西宁羊肠面,午餐,350,一碗约350g,煮制,咸鲜,待审核
青海尕面片,午餐,350,一碗约350g,煮制,咸鲜,待审核
甜醅,加餐,250,一碗约250g，作为甜品,其他,甜味,待审核
焜锅馍,早餐,150,一个约150g，作为早餐主食,烤制,原味,待审核
青海羊杂汤,早餐,300,一碗约300g（含汤），作为早餐,煮制,鲜香,待审核
彝族坨坨肉,晚餐,300,一份，可食部分约300g,煮制,原味,待审核
哈尼蘸水鸡,晚餐,300,一份，可食部分约300g,煮制,鲜香,待审核
佤族鸡肉烂饭,午餐,350,一碗约350g,煮制,鲜香,待审核
朝鲜族打糕,加餐,150,一份约150g，作为小吃,其他,甜味,待审核
朝鲜族辣白菜,加餐,100,一份约100g，作为配餐/凉菜,其他,酸辣,待审核
傣味酸肉,加餐,150,一份约150g，作为凉菜,凉拌,酸辣,待审核
彝族苦荞饼,早餐,100,一个约100g，作为早餐,煎制,原味,待审核
伊犁马肠子,加餐,150,一份约150g，作为熟食,蒸制,咸鲜,待审核
和田烤蛋,加餐,100,一份约100g，作为小吃,烤制,原味,待审核
新疆酸奶粽子,加餐,200,一份约200g，作为甜品,其他,甜味,待审核
兰州灰豆子,加餐,250,一碗约250g，作为甜品,煮制,甜味,待审核
天水呱呱,早餐,200,一份约200g，作为早餐,凉拌,香辣,待审核
大连海胆饺子,午餐,250,一份约250g（10只）,蒸制,鲜香,待审核
锦州烧烤,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核
大庆坑烤,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核
齐齐哈尔烤肉,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核
得莫利炖鱼,晚餐,400,一份（整鱼），可食部分约400g,炖煮,鲜香,待审核
丹东焖子,加餐,200,一份约200g，作为小吃,煎制,咸鲜,待审核
自贡冷吃兔,加餐,200,一份约200g，作为小吃,炒制,香辣,待审核
达州灯影牛肉,加餐,80,一份约80g，作为零食,其他,五香,待审核
内江牛肉面,午餐,350,一碗约350g,煮制,香辣,待审核
丰都麻辣鸡,晚餐,300,一份，可食部分约300g,凉拌,麻辣,待审核
万州格格,午餐,250,一份约250g,蒸制,香辣,待审核
顺德拆鱼羹,午餐,300,一碗约300g（含汤）,煮制,鲜香,待审核
广州艇仔粥,早餐,350,一碗约350g，作为早餐,煮制,鲜香,待审核
梧州龟苓膏,加餐,200,一碗约200g，作为甜品,其他,原味,待审核
柳州螺蛳鸭脚煲,晚餐,350,一份，可食部分约350g,煮制,香辣,待审核
苏州藏书羊肉,晚餐,300,一份，可食部分约300g,煮制,鲜香,待审核
常州银丝面,午餐,300,一碗约300g,煮制,咸鲜,待审核
缙云烧饼,加餐,100,一个约100g，作为点心,烤制,咸鲜,待审核
舟山海鲜面,午餐,350,一碗约350g,煮制,鲜香,待审核
蚌埠烧饼夹里脊,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核
阜阳格拉条,午餐,350,一碗约350g,煮制,咸鲜,待审核
上海辣肉面,午餐,350,一碗约350g,煮制,香辣,待审核
上海腌笃鲜,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核
老北京奶酪,加餐,150,一份约150g，作为甜品,其他,原味,待审核
石家庄缸炉烧饼,早餐,150,一个约150g，作为早餐,烤制,咸鲜,待审核
秦皇岛浑锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核
邯郸豆沫,早餐,250,一碗约250g，作为早餐,煮制,咸鲜,待审核
藏面,早餐,300,一碗约300g，作为早餐,煮制,咸鲜,待审核
林芝松茸炖鸡,晚餐,350,一份（砂锅），可食部分约350g,炖煮,鲜香,待审核
西藏牦牛火锅,晚餐,400,一份火锅，食材约400g（不含汤）,煮制,鲜香,待审核
泉州面线糊,早餐,350,一碗约350g，作为早餐,煮制,鲜香,待审核
莆田炝肉,午餐,300,一碗约300g（含汤）,煮制,鲜香,待审核
平潭时来运转,午餐,250,一份约250g,蒸制,咸鲜,待审核
临高烤乳猪,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核
海南鸡饭,午餐,350,一份约350g,煮制,鲜香,待审核
儋州米烂,午餐,300,一碗约300g,煮制,咸鲜,待审核
昭通小肉串,加餐,150,一份约150g（10串），作为小吃,烤制,孜然,待审核
大理酸辣鱼,晚餐,350,一份（整鱼），可食部分约350g,煮制,酸辣,待审核
西双版纳菠萝紫米饭,午餐,250,一份约250g,蒸制,酸甜,待审核
宝鸡擀面皮,午餐,250,一份约250g,凉拌,香辣,待审核
铜川窝窝面,午餐,300,一碗约300g,煮制,咸鲜,待审核
榆林豆腐,午餐,300,一份约300g,煮制,鲜香,待审核
喀什缸子肉,午餐,350,一份约350g（含汤）,炖煮,鲜香,待审核
伊犁熏马肉,加餐,150,一份约150g，作为熟食,其他,咸鲜,待审核
新疆皮辣红,晚餐,200,一份约200g，作为凉菜,凉拌,酸辣,待审核
沈阳烤鸡架,加餐,150,一份约150g，作为小吃,烤制,咸鲜,待审核
沈阳回头,午餐,200,一份约200g,煎制,咸鲜,待审核
沈阳白肉血肠,晚餐,300,一份，可食部分约300g,煮制,咸鲜,待审核
辽西水豆腐,午餐,250,一份约250g,煮制,咸鲜,待审核
抚顺麻辣拌,午餐,300,一份约300g,凉拌,麻辣,待审核
抚顺小串,加餐,150,一份约150g（10-12串），作为小吃,烤制,孜然,待审核
鞍山牛庄馅饼,午餐,200,一份约200g,煎制,咸鲜,待审核
本溪小市羊汤,早餐,300,一碗约300g（含汤），作为早餐,煮制,鲜香,待审核
丹东梭子蟹,晚餐,250,一只/份，可食部分约250g,蒸制,鲜香,待审核
营口海蜇,加餐,150,一份约150g，作为凉菜,凉拌,咸鲜,待审核
营口皮皮虾,晚餐,250,一份约250g（8-10只）,蒸制,鲜香,待审核
盘锦河蟹,晚餐,250,两只/份，可食部分约250g,蒸制,鲜香,待审核
铁岭火勺,早餐,100,两个约100g，作为早餐,烤制,咸鲜,待审核
朝阳驴肉锅,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
锦州干豆腐,加餐,150,一份约150g，作为凉菜/配餐,其他,咸鲜,待审核
大连咸鱼饼子,午餐,250,一份约250g,煎制,咸鲜,待审核
大连樱桃肉,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核
大连海凉粉,加餐,200,一份约200g，作为凉菜小吃,凉拌,咸鲜,待审核
长春酱骨头,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核
吉林乌拉火锅,晚餐,400,一份火锅，食材约400g（不含汤）,煮制,鲜香,待审核
东北烤冷面,加餐,200,一份约200g，作为小吃,煎制,咸鲜,待审核
四平熏肉大饼,午餐,200,一份约200g,煎制,咸鲜,待审核
查干湖胖头鱼,晚餐,400,一份（整鱼），可食部分约400g,炖煮,鲜香,待审核
延边石锅拌饭,午餐,300,一份约300g,其他,香辣,待审核
延边酱汤,早餐,300,一碗约300g（含汤），作为早餐,煮制,咸鲜,待审核
延边参鸡汤,晚餐,350,一份（砂锅），可食部分约350g,炖煮,鲜香,待审核
延边米肠,加餐,150,一份约150g，作为小吃,煮制,咸鲜,待审核
长春鸡汤豆腐串,加餐,200,一份约200g，作为小吃,煮制,鲜香,待审核
延边明太鱼,加餐,150,一份约150g，作为熟食/凉菜,其他,咸鲜,待审核
雪衣豆沙,加餐,150,一份约150g，作为甜点,油炸,甜味,待审核
延边牛尾汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核
哈尔滨杀猪菜,晚餐,400,一份，可食部分约400g（含血肠）,炖煮,咸鲜,待审核
哈尔滨溜肉段,晚餐,250,一份，可食部分约250g,油炸,咸鲜,待审核
哈尔滨大列巴,早餐,150,一份约150g，作为早餐,烤制,咸鲜,待审核
哈尔滨粘豆包,加餐,100,一份约100g，作为小吃,蒸制,甜味,待审核
哈尔滨冻柿子,加餐,100,一个约100g，作为水果,其他,甜味,待审核
哈尔滨坛肉,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核
哈尔滨酱骨架,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核
秋林格瓦斯,加餐,250,一杯约250ml，作为饮品,其他,甜味,待审核
鸡西辣菜,加餐,150,一份约150g，作为凉菜小吃,凉拌,香辣,待审核
镜泊湖红尾鱼,晚餐,350,一份（整鱼），可食部分约350g,炖煮,鲜香,待审核
呼伦贝尔锅茶,早餐,300,一碗约300ml，作为早餐饮品,煮制,咸鲜,待审核
通辽牛肉干,加餐,80,一份约80g，作为零食,烤制,咸鲜,待审核
赤峰对夹,午餐,200,一个约200g,烤制,咸鲜,待审核
呼伦贝尔烤羊背,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核
东北乱炖,晚餐,400,一份，可食部分约400g,炖煮,咸鲜,待审核
排骨炖豆角,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核
鲶鱼炖茄子,晚餐,350,一份（整鱼），可食部分约350g,炖煮,鲜香,待审核
茄子炖土豆,午餐,250,一份约250g,炖煮,咸鲜,待审核
尖椒干豆腐,午餐,250,一份约250g,炒制,咸鲜,待审核
东北蘸酱菜,午餐,200,一份约200g,凉拌,咸鲜,待审核
东北皮冻,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核
农家一锅出,晚餐,400,一份，可食部分约400g,煮制,咸鲜,待审核
东北春饼,午餐,200,一份约200g,煎制,咸鲜,待审核
东北饭包,午餐,300,一个约300g,其他,咸鲜,待审核
玉米面菜团子,加餐,100,一份约100g，作为小吃,蒸制,咸鲜,待审核
酸汤子,午餐,300,一碗约300g（含汤）,煮制,酸辣,待审核
苞米碴子粥,早餐,300,一碗约300g，作为早餐,煮制,原味,待审核
冻豆腐炖白菜,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
渍菜粉,午餐,250,一份约250g,炒制,酸辣,待审核
韭菜盒子,加餐,150,一份约150g（2个），作为小吃,煎制,咸鲜,待审核
东北烤苞米,加餐,150,一份约150g，作为小吃,烤制,原味,待审核
满族八大碗,晚餐,350,一份，可食部分约350g,蒸制,咸鲜,待审核
香煎鸡胸肉,午餐,150,一份约150g,煎制,咸鲜,待审核
蒜蓉西兰花,晚餐,200,一份约200g,炒制,蒜香,待审核
白灼虾,晚餐,200,一份约200g（8-10只）,煮制,原味,待审核
清蒸龙利鱼,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
凉拌鸡丝,午餐,150,一份约150g,凉拌,咸鲜,待审核
番茄龙利鱼汤,晚餐,300,一碗约300g（含汤）,煮制,酸甜,待审核
彩椒炒鸡丁,午餐,200,一份约200g,炒制,咸鲜,待审核
香菇炒青菜,午餐,200,一份约200g,炒制,咸鲜,待审核
水煮蛋,早餐,100,两个约100g,煮制,原味,待审核
牛奶燕麦粥,早餐,250,一碗约250g，作为早餐,煮制,原味,待审核
蒸玉米,早餐,100,一根约100g，作为粗粮,蒸制,原味,待审核
凉拌魔芋丝,加餐,150,一份约150g，作为低卡小吃,凉拌,酸辣,待审核
手撕鸡胸肉,午餐,150,一份约150g,凉拌,咸鲜,待审核
清炒时蔬,晚餐,200,一份约200g,炒制,清淡,待审核
虾仁蒸蛋,早餐,150,一份约150g,蒸制,咸鲜,待审核
荞麦面条,午餐,250,一碗约250g（含汤）,煮制,清淡,待审核
杂粮饭,午餐,250,一份约250g,蒸制,原味,待审核
冬瓜丸子汤,晚餐,300,一碗约300g（含汤）,煮制,清淡,待审核
口蘑鸡胸肉,晚餐,200,一份约200g,炒制,咸鲜,待审核
油醋汁蔬菜沙拉,午餐,200,一份约200g,凉拌,清淡,待审核
蒸南瓜,早餐,150,一份约150g，作为粗粮,蒸制,原味,待审核
紫菜蛋花汤,晚餐,200,一碗约200g（含汤）,煮制,清淡,待审核
凉拌木耳,加餐,150,一份约150g，作为凉菜,凉拌,咸鲜,待审核
清蒸鲈鱼,晚餐,300,一份（整鱼），可食部分约300g,蒸制,鲜香,待审核
芹菜炒香干,午餐,200,一份约200g,炒制,咸鲜,待审核
白灼菜心,晚餐,200,一份约200g,煮制,清淡,待审核
鸡胸肉沙拉,午餐,200,一份约200g,凉拌,咸鲜,待审核
番茄豆腐汤,晚餐,250,一碗约250g（含汤）,煮制,酸甜,待审核
炒蘑菇,加餐,150,一份约150g，作为配菜,炒制,咸鲜,待审核
芦笋炒虾仁,晚餐,200,一份约200g,炒制,咸鲜,待审核
小米粥,早餐,250,一碗约250g，作为早餐,煮制,原味,待审核
凉拌黄瓜,加餐,150,一份约150g，作为凉菜,凉拌,清淡,待审核
清炒芦笋,晚餐,200,一份约200g,炒制,清淡,待审核
凉拌豆腐丝,加餐,150,一份约150g，作为凉菜,凉拌,咸鲜,待审核
蒸紫薯,早餐,150,一个约150g，作为粗粮,蒸制,原味,待审核
虾仁西兰花,晚餐,200,一份约200g,炒制,咸鲜,待审核
酸奶水果捞,加餐,200,一份约200g，作为低脂甜品,其他,甜味,待审核
水波蛋,早餐,100,一个约100g,煮制,原味,待审核
鸡胸肉蔬菜卷,午餐,200,一个约200g,其他,咸鲜,待审核
藜麦饭,午餐,250,一份约250g,蒸制,原味,待审核
冬瓜海带汤,晚餐,250,一碗约250g（含汤）,煮制,清淡,待审核
凉拌西葫芦丝,加餐,150,一份约150g，作为凉菜,凉拌,清淡,待审核
尖椒炒肉,午餐,250,一份约250g,炒制,咸鲜,待审核
白菜炖豆腐,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
干煸豆角,午餐,200,一份约200g,炒制,香辣,待审核
香菇油菜,午餐,200,一份约200g,炒制,咸鲜,待审核
青椒炒蛋,午餐,200,一份约200g,炒制,咸鲜,待审核
蒜蓉油麦菜,晚餐,200,一份约200g,炒制,蒜香,待审核
蚝油生菜,晚餐,200,一份约200g,炒制,咸鲜,待审核
手撕包菜,晚餐,200,一份约200g,炒制,香辣,待审核
醋溜白菜,午餐,250,一份约250g,炒制,酸甜,待审核
土豆炖牛肉,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核
西红柿牛腩,晚餐,350,一份，可食部分约350g,炖煮,酸甜,待审核
可乐鸡翅,晚餐,250,一份约250g（6-8只）,焖制,甜味,待审核
红烧鸡爪,加餐,200,一份约200g，作为小吃,焖制,咸鲜,待审核
黄豆焖猪蹄,晚餐,300,一份，可食部分约300g,焖制,咸鲜,待审核
红烧排骨,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
糖醋里脊,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核
鱼香茄子,午餐,250,一份约250g,焖制,咸鲜,待审核
蚂蚁上树,午餐,250,一份约250g,炒制,香辣,待审核
木须肉,午餐,250,一份约250g,炒制,咸鲜,待审核
蒜苔炒肉,午餐,250,一份约250g,炒制,咸鲜,待审核
洋葱炒牛肉,晚餐,250,一份约250g,炒制,咸鲜,待审核
西葫芦炒蛋,午餐,200,一份约200g,炒制,咸鲜,待审核
苦瓜炒蛋,午餐,200,一份约200g,炒制,清淡,待审核
丝瓜炒蛋,午餐,200,一份约200g,炒制,清淡,待审核
家常豆腐,午餐,250,一份约250g,焖制,咸鲜,待审核
干锅花菜,晚餐,250,一份约250g,炒制,香辣,待审核
青蒜炒腊肉,晚餐,200,一份约200g,炒制,咸鲜,待审核
莴笋炒肉片,午餐,250,一份约250g,炒制,咸鲜,待审核
清炒藕片,晚餐,200,一份约200g,炒制,清淡,待审核
胡萝卜炒肉丝,午餐,250,一份约250g,炒制,咸鲜,待审核
韭菜炒豆芽,午餐,200,一份约200g,炒制,清淡,待审核
素炒三丝,午餐,200,一份约200g,炒制,咸鲜,待审核
红烧茄子,午餐,250,一份约250g,焖制,咸鲜,待审核
番茄炒西葫芦,午餐,200,一份约200g,炒制,酸甜,待审核
蚝油香菇,晚餐,200,一份约200g,炒制,咸鲜,待审核
蒜蓉蒸丝瓜,晚餐,200,一份约200g,蒸制,蒜香,待审核
冬瓜炖排骨,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核
玉米排骨汤,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核
海带排骨汤,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核
山药炖鸡,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核
板栗烧鸡,晚餐,300,一份，可食部分约300g,焖制,咸鲜,待审核
黄焖鸡,晚餐,350,一份，可食部分约350g,焖制,咸鲜,待审核
啤酒鸭,晚餐,350,一份，可食部分约350g,焖制,咸鲜,待审核
孜然牛肉,晚餐,250,一份，可食部分约250g,炒制,孜然,待审核
洋葱炒蛋,午餐,200,一份约200g,炒制,咸鲜,待审核
西红柿炒菜花,午餐,200,一份约200g,炒制,酸甜,待审核
清炒荷兰豆,晚餐,200,一份约200g,炒制,清淡,待审核
上汤娃娃菜,晚餐,250,一份约250g（含汤）,煮制,咸鲜,待审核
葱爆羊肉,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
小炒黄牛肉,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核
农家小炒肉,晚餐,250,一份，可食部分约250g,炒制,香辣,待审核
韭菜炒河虾,晚餐,200,一份约200g,炒制,咸鲜,待审核
香煎豆腐,午餐,250,一份约250g,煎制,咸鲜,待审核
肉末茄子,午餐,250,一份约250g,焖制,咸鲜,待审核
清炒山药,晚餐,200,一份约200g,炒制,清淡,待审核
醋溜土豆丝,午餐,250,一份约250g,炒制,酸甜,待审核
西芹百合,晚餐,200,一份约200g,炒制,清淡,待审核
松仁玉米,午餐,200,一份约200g,炒制,甜味,待审核
南瓜粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
八宝粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核
绿豆粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核
红豆薏米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核
紫米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核
银耳莲子粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核
黑米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核
山药粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核
香菇鸡肉粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
生滚鱼片粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
猪肝瘦肉粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
红薯小米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核
腊八粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核
桂圆红枣粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核
艇仔粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
鲜肉包,早餐,150,两个约150g,蒸制,咸鲜,待审核
豆沙包,早餐,150,两个约150g,蒸制,甜味,待审核
流沙包,早餐,150,两个约150g,蒸制,甜味,待审核
灌汤包,早餐,150,两个约150g,蒸制,咸鲜,待审核
葱油花卷,早餐,100,一个/份约100g,蒸制,咸鲜,待审核
刀切馒头,早餐,100,一个/份约100g,蒸制,原味,待审核
红糖馒头,早餐,100,一个/份约100g,蒸制,甜味,待审核
玉米窝窝头,早餐,100,一个/份约100g,蒸制,原味,待审核
糯米烧麦,早餐,150,一份约150g（3个）,蒸制,咸鲜,待审核
鲜肉锅贴,早餐,150,一份约150g（6个）,煎制,咸鲜,待审核
韭菜鸡蛋锅贴,早餐,150,一份约150g（6个）,煎制,咸鲜,待审核
葱油饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核
鸡蛋灌饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核
酱香饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核
红糖发糕,早餐,100,一份约100g,蒸制,甜味,待审核
玉米发糕,早餐,100,一份约100g,蒸制,原味,待审核
桂花米糕,早餐,100,一份约100g,蒸制,甜味,待审核
麻团,早餐,100,一份约100g，作为小吃,油炸,甜味,待审核
南瓜饼,早餐,150,一份约150g,煎制,甜味,待审核
萝卜丝饼,早餐,150,一份约150g,煎制,咸鲜,待审核
土豆丝饼,早餐,150,一份约150g,煎制,咸鲜,待审核
糖油饼,早餐,100,一份约100g，作为小吃,油炸,甜味,待审核
茶叶蛋,早餐,100,两个约100g,煮制,五香,待审核
卤蛋,早餐,100,两个约100g,煮制,咸鲜,待审核
荷包蛋,早餐,100,两个约100g,煎制,原味,待审核
咸豆腐脑,早餐,250,一碗约250g,煮制,咸鲜,待审核
甜豆浆,早餐,250,一杯约250ml,煮制,甜味,待审核
原味酸奶,早餐,200,一杯约200ml,其他,原味,待审核
醪糟汤圆,早餐,250,一碗约250g（含汤）,煮制,甜味,待审核
蛋酒,早餐,200,一碗约200ml,冲泡,甜味,待审核
鸡蛋饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核
溏心蛋,早餐,100,两个约100g,煎制,原味,待审核
