关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
大同羊杂割,午餐,300,一碗约300g（含汤）,煮制,香辣,待审核,整餐候选,汤羹,畜肉|动物内脏,羊杂割以羊杂汤为底，作为整餐汤品。
平遥碗托,加餐,200,一份约200g，作为凉菜小吃,凉拌,酸辣,待审核,组合组成项,主食,其他谷物,碗托以荞麦面蒸制，作为主食小吃。
山西过油肉,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉,过油肉以猪肉为主要食材，作为蛋白质菜肴。
定襄蒸肉,晚餐,200,一份约200g,蒸制,咸鲜,待审核,组合组成项,蛋白质,畜肉,定襄蒸肉以猪肉蒸制，作为蛋白质菜肴。
闻喜煮饼,加餐,80,一份约80g，作为零食,油炸,甜味,待审核,组合组成项,其他配菜,麦及制品|种子,煮饼以麦面油炸裹芝麻，作为点心。
太谷饼,加餐,100,一个约100g，作为点心,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品,太谷饼以麦面烤制，作为点心。
长子炒饼,午餐,300,一份约300g,炒制,咸鲜,待审核,整餐候选,混合主餐,麦及制品|畜肉,炒饼以饼丝炒制并含肉料，作为混合主食。
高平烧豆腐,午餐,250,一份约250g,煮制,香辣,待审核,组合组成项,蛋白质,大豆及豆制品,烧豆腐以豆腐为主料，作为蛋白质菜肴。
南昌白糖糕,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核,组合组成项,其他配菜,米及制品,白糖糕以米浆蒸制，作为甜点点心。
景德镇碱水粑,加餐,150,一份约150g，作为小吃,炒制,咸鲜,待审核,组合组成项,主食,米及制品,碱水粑以米粑炒制，作为主食。
吉安霉鱼,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质,鱼类,霉鱼以鱼肉腌制，作为蛋白质菜肴。
婺源糊豆腐,午餐,250,一份约250g,煮制,鲜香,待审核,组合组成项,蛋白质,大豆及豆制品,糊豆腐以豆腐为主料，作为蛋白质菜肴。
九江茶饼,加餐,80,一份约80g，作为零食,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品,茶饼以麦面烤制，作为点心。
井冈山烟笋烧肉,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,混合主餐,花茎类|畜肉,烟笋烧肉以笋与猪肉同烧，作为荤素主菜。
赣南荷包胙,晚餐,300,一份，可食部分约300g,蒸制,咸鲜,待审核,组合组成项,蛋白质,畜肉,荷包胙以猪肉蒸制，作为蛋白质菜肴。
抚州牛杂粉,午餐,400,一碗约400g（含汤）,煮制,香辣,待审核,整餐候选,混合主餐,米及制品|畜肉|动物内脏,牛杂粉以米粉配牛杂，作为整餐混合主食。
铅山烫粉,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,主食,米及制品,烫粉以米粉烫制，作为整餐主食。
吴忠羊杂碎,午餐,300,一碗约300g（含汤）,煮制,香辣,待审核,整餐候选,汤羹,畜肉|动物内脏,羊杂碎以羊杂煮汤，作为整餐汤品。
中卫烩小吃,午餐,300,一份约300g（含汤）,煮制,咸鲜,待审核,整餐候选,汤羹,麦及制品,烩小吃以面制品烩汤，作为整餐汤点。
宁夏八宝茶,加餐,250,一杯约250ml，作为饮品,冲泡,甜味,待审核,组合组成项,饮品,坚果|种子,八宝茶以茶叶冲泡，作为饮品。
沙葱炒羊肉,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉,沙葱炒羊肉以羊肉为主料，作为蛋白质菜肴。
固原烧鸡,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核,组合组成项,蛋白质,禽肉,烧鸡以鸡肉卤制，作为蛋白质菜肴。
宁夏羊排小揪面,午餐,400,一碗约400g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|畜肉,小揪面以面片配羊排，作为整餐混合主食。
卤肉饭,午餐,300,一份约300g（配米饭）,炖煮,咸鲜,待审核,整餐候选,混合主餐,米及制品|畜肉,卤肉饭以米饭盖卤肉，作为整餐混合主食。
台湾牛肉面,午餐,400,一碗约400g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,麦及制品|畜肉,牛肉面以面条配牛肉，作为整餐混合主食。
蚵仔煎,加餐,200,一份约200g，作为小吃,煎制,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,蚵仔煎以牡蛎煎制，作为蛋白质菜肴。
三杯鸡,晚餐,300,一份，可食部分约300g,炒制,咸鲜,待审核,组合组成项,蛋白质,禽肉,三杯鸡以鸡肉烧制，作为蛋白质菜肴。
大肠包小肠,加餐,200,一份约200g，作为小吃,烤制,咸鲜,待审核,组合组成项,其他配菜,米及制品|畜肉,大肠包小肠以糯米肠夹肉肠，作为小吃。
担仔面,午餐,300,一碗约300g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|畜肉,担仔面以面条配肉臊海鲜，作为整餐混合主食。
棺材板,加餐,200,一份约200g，作为小吃,油炸,咸鲜,待审核,组合组成项,其他配菜,麦及制品,棺材板以厚片面包炸制，作为小吃。
刈包,加餐,150,一个约150g，作为小吃,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,刈包以麦面蒸饼夹卤肉，作为主食。
彰化肉圆,加餐,200,一份约200g，作为小吃,蒸制,咸鲜,待审核,组合组成项,其他配菜,米及制品|畜肉,肉圆以薯粉米浆裹肉馅蒸制，作为小吃。
台南碗粿,加餐,200,一份约200g，作为小吃,蒸制,咸鲜,待审核,组合组成项,主食,米及制品,碗粿以米浆蒸制，作为主食点心。
凤梨酥,加餐,80,一块约80g，作为点心,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品|水果,凤梨酥以麦皮包凤梨馅，作为点心。
太阳饼,加餐,80,一个约80g，作为点心,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品,太阳饼以麦面酥皮，作为点心。
珍珠奶茶,加餐,300,一杯约300ml，作为饮品,冲泡,甜味,待审核,组合组成项,饮品,奶及奶制品,珍珠奶茶以奶茶为底，作为饮品。
澳门猪扒包,午餐,200,一个约200g,烤制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,猪扒包以面包夹猪排，作为主食。
葡式蛋挞,加餐,100,一个约100g，作为点心,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品|蛋类,蛋挞以酥皮蛋液烤制，作为点心。
水蟹粥,早餐,350,一碗约350g，作为早餐,煮制,鲜香,待审核,整餐候选,混合主餐,米及制品|虾蟹贝类,水蟹粥以米粥配蟹，作为整餐混合主食。
港式鱼蛋,加餐,200,一份约200g（8-10颗），作为小吃,煮制,咸鲜,待审核,组合组成项,蛋白质,鱼类,鱼蛋以鱼浆制成，作为蛋白质小吃。
碗仔翅,加餐,250,一碗约250g，作为小吃,煮制,咸鲜,待审核,组合组成项,汤羹,杂豆|畜肉|蛋类,碗仔翅以仿翅羹汤为主，作为汤品小吃。
鸡蛋仔,加餐,150,一份约150g，作为小吃,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品|蛋类,鸡蛋仔以蛋液麦粉烤成，作为小吃。
杨枝甘露,加餐,250,一碗约250g，作为甜品,其他,甜味,待审核,组合组成项,水果,水果|奶及奶制品,杨枝甘露以芒果等水果为主，作为水果甜品。
虾子面,午餐,300,一碗约300g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|虾蟹贝类,虾子面以面条配虾子，作为整餐混合主食。
港式焗猪扒饭,午餐,350,一份约350g,烤制,咸鲜,待审核,整餐候选,混合主餐,米及制品|畜肉,焗猪扒饭以米饭盖猪扒焗烤，作为整餐混合主食。
烤羊腿,晚餐,350,一份，可食部分约350g,烤制,孜然,待审核,组合组成项,蛋白质,畜肉,烤羊腿以羊肉烤制，作为蛋白质菜肴。
蒙古羊杂碎,午餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,整餐候选,汤羹,畜肉|动物内脏,羊杂碎以羊杂煮汤，作为整餐汤品。
焖羊肉,晚餐,300,一份，可食部分约300g,炖煮,原味,待审核,组合组成项,蛋白质,畜肉,焖羊肉以羊肉焖制，作为蛋白质菜肴。
黄油卷子,早餐,150,一份约150g，作为早餐,蒸制,原味,待审核,组合组成项,主食,麦及制品,卷子以麦面蒸制，作为主食。
驼掌,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核,组合组成项,蛋白质,畜肉,驼掌以骆驼掌烹制，作为蛋白质菜肴。
蒙古果子,早餐,100,一份约100g，作为早餐,油炸,甜味,待审核,组合组成项,其他配菜,麦及制品,果子以麦面油炸，作为点心。
蒙古炒米,加餐,100,一份约100g，作为零食,其他,原味,待审核,组合组成项,主食,米及制品,炒米以米炒制，作为主食零食。
呼和浩特稍麦,早餐,200,一笼约200g（6只），作为早餐,蒸制,鲜香,待审核,组合组成项,主食,麦及制品,烧麦以麦皮包馅蒸制，作为主食点心。
安阳三熏,加餐,150,一份约150g，作为熟食/配餐,其他,五香,待审核,组合组成项,蛋白质,畜肉,三熏以熏制肉料为主，作为蛋白质菜肴。
开封炒凉粉,加餐,200,一份约200g，作为小吃,炒制,香辣,待审核,组合组成项,其他配菜,杂豆,凉粉以豆粉制成炒制，作为小吃。
新乡红焖羊肉,晚餐,350,一份，可食部分约350g,炖煮,香辣,待审核,组合组成项,蛋白质,畜肉,红焖羊肉以羊肉焖制，作为蛋白质菜肴。
濮阳壮馍,午餐,250,一份约250g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,壮馍以麦面夹馅烙制，作为主食。
信阳固始鹅块,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核,组合组成项,蛋白质,禽肉,固始鹅块以鹅肉烧制，作为蛋白质菜肴。
洛阳浆面条,午餐,300,一碗约300g,煮制,酸辣,待审核,整餐候选,混合主餐,麦及制品,浆面条以面条煮制，作为整餐混合主食。
许昌热豆腐,加餐,200,一份约200g，作为小吃,煮制,香辣,待审核,组合组成项,蛋白质,大豆及豆制品,热豆腐以豆腐为主料，作为蛋白质菜肴。
郏县饸饹面,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|畜肉,饸饹面以面条配羊肉，作为整餐混合主食。
遵义羊肉粉,午餐,400,一碗约400g（含汤）,煮制,鲜香,待审核,整餐候选,混合主餐,米及制品|畜肉,羊肉粉以米粉配羊肉，作为整餐混合主食。
花溪牛肉粉,午餐,400,一碗约400g（含汤）,煮制,鲜香,待审核,整餐候选,混合主餐,米及制品|畜肉,牛肉粉以米粉配牛肉，作为整餐混合主食。
凯里酸汤牛肉,晚餐,350,一份，可食部分约350g（含汤）,煮制,酸辣,待审核,组合组成项,蛋白质,畜肉,酸汤牛肉以牛肉煮制，作为蛋白质菜肴。
毕节汤圆,加餐,200,一碗约200g，作为甜品,煮制,甜味,待审核,组合组成项,主食,米及制品,汤圆以糯米制成，作为主食点心。
安顺裹卷,加餐,200,一份约200g，作为小吃,其他,酸辣,待审核,组合组成项,主食,米及制品,裹卷以米皮卷馅，作为主食小吃。
侗家腌鱼,晚餐,250,一份，可食部分约250g,蒸制,酸辣,待审核,组合组成项,蛋白质,鱼类,腌鱼以鱼肉腌制，作为蛋白质菜肴。
榕江卷粉,加餐,200,一份约200g，作为小吃,蒸制,酸辣,待审核,组合组成项,主食,米及制品,卷粉以米皮卷制，作为主食小吃。
水城烙锅,晚餐,350,一份烙锅，食材约350g（不含汤）,煎制,香辣,待审核,整餐候选,混合主餐,畜肉|叶菜,烙锅以多种食材铁板烙制，作为整餐混合餐。
遵义豆花面,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,混合主餐,麦及制品|大豆及豆制品,豆花面以面条配豆花，作为整餐混合主食。
苗家酸汤粉,午餐,350,一碗约350g（含汤）,煮制,酸辣,待审核,整餐候选,混合主餐,米及制品,酸汤粉以米粉煮制，作为整餐混合主食。
天津锅巴菜,早餐,250,一碗约250g，作为早餐,煮制,咸鲜,待审核,整餐候选,主食,杂豆,锅巴菜以绿豆面薄饼浇卤，作为早餐主食。
耳朵眼炸糕,加餐,100,一个约100g，作为点心,油炸,甜味,待审核,组合组成项,其他配菜,米及制品,炸糕以糯米面皮炸制，作为点心。
罾蹦鲤鱼,晚餐,350,一份（整鱼），可食部分约350g,油炸,酸甜,待审核,组合组成项,蛋白质,鱼类,罾蹦鲤鱼以鲤鱼炸制，作为蛋白质菜肴。
老爆三,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|动物内脏,老爆三以肝肚瘦肉爆炒，作为蛋白质菜肴。
天津打卤面,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,混合主餐,麦及制品|畜肉,打卤面以面条浇卤，作为整餐混合主食。
西宁羊肠面,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,混合主餐,麦及制品|畜肉|动物内脏,羊肠面以面条配羊肠，作为整餐混合主食。
青海尕面片,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,面片以麦面揪片煮制，作为整餐主食。
甜醅,加餐,250,一碗约250g，作为甜品,其他,甜味,待审核,组合组成项,其他配菜,其他谷物,甜醅以青稞发酵制成，作为小吃。
焜锅馍,早餐,150,一个约150g，作为早餐主食,烤制,原味,待审核,组合组成项,主食,麦及制品,焜锅馍以麦面烤制，作为主食。
青海羊杂汤,早餐,300,一碗约300g（含汤），作为早餐,煮制,鲜香,待审核,整餐候选,汤羹,畜肉|动物内脏,羊杂汤以羊杂煮汤，作为整餐汤品。
彝族坨坨肉,晚餐,300,一份，可食部分约300g,煮制,原味,待审核,组合组成项,蛋白质,畜肉,坨坨肉以大块猪肉煮制，作为蛋白质菜肴。
哈尼蘸水鸡,晚餐,300,一份，可食部分约300g,煮制,鲜香,待审核,组合组成项,蛋白质,禽肉,蘸水鸡以鸡肉配蘸水，作为蛋白质菜肴。
佤族鸡肉烂饭,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,混合主餐,米及制品|禽肉,鸡肉烂饭以米粥配鸡肉，作为整餐混合主食。
朝鲜族打糕,加餐,150,一份约150g，作为小吃,其他,甜味,待审核,组合组成项,主食,米及制品,打糕以糯米捶打制成，作为主食点心。
朝鲜族辣白菜,加餐,100,一份约100g，作为配餐/凉菜,其他,酸辣,待审核,组合组成项,蔬菜,叶菜,辣白菜以白菜腌制，作为蔬菜小菜。
傣味酸肉,加餐,150,一份约150g，作为凉菜,凉拌,酸辣,待审核,组合组成项,蛋白质,畜肉,酸肉以猪肉腌制，作为蛋白质菜肴。
彝族苦荞饼,早餐,100,一个约100g，作为早餐,煎制,原味,待审核,组合组成项,主食,其他谷物,苦荞饼以荞麦面烙制，作为主食。
伊犁马肠子,加餐,150,一份约150g，作为熟食,蒸制,咸鲜,待审核,组合组成项,蛋白质,畜肉,马肠子以马肉灌制，作为蛋白质菜肴。
和田烤蛋,加餐,100,一份约100g，作为小吃,烤制,原味,待审核,组合组成项,蛋白质,蛋类,烤蛋以鸡蛋烤制，作为蛋白质小吃。
新疆酸奶粽子,加餐,200,一份约200g，作为甜品,其他,甜味,待审核,组合组成项,其他配菜,米及制品|奶及奶制品,酸奶粽子以粽子浇酸奶，作为甜品点心。
兰州灰豆子,加餐,250,一碗约250g，作为甜品,煮制,甜味,待审核,组合组成项,其他配菜,杂豆,灰豆子以豌豆熬煮成甜粥，作为小吃。
天水呱呱,早餐,200,一份约200g，作为早餐,凉拌,香辣,待审核,组合组成项,其他配菜,其他谷物,呱呱以荞麦面蒸制凉拌，作为小吃。
大连海胆饺子,午餐,250,一份约250g（10只）,蒸制,鲜香,待审核,组合组成项,主食,麦及制品|虾蟹贝类,海胆饺子以麦皮包海胆馅，作为主食。
锦州烧烤,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核,整餐候选,混合主餐,畜肉|禽肉,烧烤以多种肉串烤制，作为整餐混合餐。
大庆坑烤,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核,整餐候选,混合主餐,畜肉,坑烤以多种食材焖烤，作为整餐混合餐。
齐齐哈尔烤肉,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核,整餐候选,混合主餐,畜肉,烤肉以牛肉为主铁板烤制，作为整餐混合餐。
得莫利炖鱼,晚餐,400,一份（整鱼），可食部分约400g,炖煮,鲜香,待审核,组合组成项,蛋白质,鱼类,炖鱼以鲤鱼等炖煮，作为蛋白质菜肴。
丹东焖子,加餐,200,一份约200g，作为小吃,煎制,咸鲜,待审核,组合组成项,其他配菜,薯类,焖子以淀粉煎制凉拌，作为小吃。
自贡冷吃兔,加餐,200,一份约200g，作为小吃,炒制,香辣,待审核,组合组成项,蛋白质,畜肉,冷吃兔以兔肉卤制，作为蛋白质菜肴。
达州灯影牛肉,加餐,80,一份约80g，作为零食,其他,五香,待审核,组合组成项,蛋白质,畜肉,灯影牛肉以牛肉薄片风干，作为蛋白质小吃。
内江牛肉面,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,混合主餐,麦及制品|畜肉,牛肉面以面条配牛肉，作为整餐混合主食。
丰都麻辣鸡,晚餐,300,一份，可食部分约300g,凉拌,麻辣,待审核,组合组成项,蛋白质,禽肉,麻辣鸡以鸡肉拌制，作为蛋白质菜肴。
万州格格,午餐,250,一份约250g,蒸制,香辣,待审核,组合组成项,蛋白质,畜肉,格格以小笼蒸肉制成，作为蛋白质小吃。
顺德拆鱼羹,午餐,300,一碗约300g（含汤）,煮制,鲜香,待审核,组合组成项,汤羹,鱼类,拆鱼羹以鱼肉熬羹，作为汤品。
广州艇仔粥,早餐,350,一碗约350g，作为早餐,煮制,鲜香,待审核,整餐候选,混合主餐,米及制品|鱼类|虾蟹贝类,艇仔粥以米粥配鱼生海鲜，作为整餐混合主食。
梧州龟苓膏,加餐,200,一碗约200g，作为甜品,其他,原味,待审核,组合组成项,其他配菜,其他植物蛋白制品,龟苓膏以草药熬制成膏，作为甜品。
柳州螺蛳鸭脚煲,晚餐,350,一份，可食部分约350g,煮制,香辣,待审核,整餐候选,混合主餐,虾蟹贝类|禽肉,螺蛳鸭脚煲以螺蛳鸭脚焖煲，作为整餐混合菜。
苏州藏书羊肉,晚餐,300,一份，可食部分约300g,煮制,鲜香,待审核,组合组成项,蛋白质,畜肉,藏书羊肉以羊肉炖煮，作为蛋白质菜肴。
常州银丝面,午餐,300,一碗约300g,煮制,咸鲜,待审核,整餐候选,混合主餐,麦及制品,银丝面以细面条煮制，作为整餐主食。
缙云烧饼,加餐,100,一个约100g，作为点心,烤制,咸鲜,待审核,组合组成项,主食,麦及制品,烧饼以麦面烤制，作为主食点心。
舟山海鲜面,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|虾蟹贝类|鱼类,海鲜面以面条配海鲜，作为整餐混合主食。
蚌埠烧饼夹里脊,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,烧饼夹里脊以烧饼夹肉，作为主食。
阜阳格拉条,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,格拉条以麦面压条煮制，作为整餐主食。
上海辣肉面,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,混合主餐,麦及制品|畜肉,辣肉面以面条浇辣肉臊，作为整餐混合主食。
上海腌笃鲜,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,畜肉|花茎类,腌笃鲜以咸肉鲜肉笋片煮汤，作为汤品。
老北京奶酪,加餐,150,一份约150g，作为甜品,其他,原味,待审核,组合组成项,奶及替代品,奶及奶制品,奶酪以奶制品制成，作为奶制品甜品。
石家庄缸炉烧饼,早餐,150,一个约150g，作为早餐,烤制,咸鲜,待审核,组合组成项,主食,麦及制品,缸炉烧饼以麦面烤制，作为主食点心。
秦皇岛浑锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核,整餐候选,混合主餐,畜肉|叶菜,浑锅以多种食材烩炖成锅，作为整餐混合菜。
邯郸豆沫,早餐,250,一碗约250g，作为早餐,煮制,咸鲜,待审核,组合组成项,汤羹,杂豆,豆沫以豆粉熬粥，作为汤品。
藏面,早餐,300,一碗约300g，作为早餐,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,藏面以麦面煮制，作为整餐主食。
林芝松茸炖鸡,晚餐,350,一份（砂锅），可食部分约350g,炖煮,鲜香,待审核,组合组成项,汤羹,菌菇|禽肉,松茸炖鸡以松茸鸡肉炖汤，作为汤品。
西藏牦牛火锅,晚餐,400,一份火锅，食材约400g（不含汤）,煮制,鲜香,待审核,整餐候选,混合主餐,畜肉,牦牛火锅以牦牛肉涮煮，作为整餐混合餐。
泉州面线糊,早餐,350,一碗约350g，作为早餐,煮制,鲜香,待审核,整餐候选,主食,麦及制品,面线糊以细面线煮糊，作为整餐主食。
莆田炝肉,午餐,300,一碗约300g（含汤）,煮制,鲜香,待审核,组合组成项,蛋白质,畜肉,炝肉以猪肉滑煮，作为蛋白质菜肴。
平潭时来运转,午餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,其他配菜,米及制品,时来运转以米粉裹馅蒸制，作为小吃。
临高烤乳猪,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核,组合组成项,蛋白质,畜肉,烤乳猪以乳猪烤制，作为蛋白质菜肴。
海南鸡饭,午餐,350,一份约350g,煮制,鲜香,待审核,整餐候选,混合主餐,米及制品|禽肉,鸡饭以米饭配白切鸡，作为整餐混合主食。
儋州米烂,午餐,300,一碗约300g,煮制,咸鲜,待审核,组合组成项,主食,米及制品,米烂以米粉煮制浇卤，作为主食。
昭通小肉串,加餐,150,一份约150g（10串），作为小吃,烤制,孜然,待审核,组合组成项,蛋白质,畜肉,小肉串以猪肉小串烤制，作为蛋白质小吃。
大理酸辣鱼,晚餐,350,一份（整鱼），可食部分约350g,煮制,酸辣,待审核,组合组成项,蛋白质,鱼类,酸辣鱼以鱼煮制，作为蛋白质菜肴。
西双版纳菠萝紫米饭,午餐,250,一份约250g,蒸制,酸甜,待审核,组合组成项,主食,米及制品|水果,菠萝紫米饭以紫米菠萝同蒸，作为主食。
宝鸡擀面皮,午餐,250,一份约250g,凉拌,香辣,待审核,组合组成项,主食,麦及制品,擀面皮以麦面蒸制凉拌，作为主食小吃。
铜川窝窝面,午餐,300,一碗约300g,煮制,咸鲜,待审核,整餐候选,混合主餐,麦及制品,窝窝面以面片煮制，作为整餐主食。
榆林豆腐,午餐,300,一份约300g,煮制,鲜香,待审核,组合组成项,蛋白质,大豆及豆制品,榆林豆腐以豆腐为主料，作为蛋白质菜肴。
喀什缸子肉,午餐,350,一份约350g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,畜肉,缸子肉以羊肉陶罐焖炖，作为汤品。
伊犁熏马肉,加餐,150,一份约150g，作为熟食,其他,咸鲜,待审核,组合组成项,蛋白质,畜肉,熏马肉以马肉熏制，作为蛋白质菜肴。
新疆皮辣红,晚餐,200,一份约200g，作为凉菜,凉拌,酸辣,待审核,组合组成项,蔬菜,瓜茄类,皮辣红以洋葱番茄辣椒凉拌，作为蔬菜小菜。
沈阳烤鸡架,加餐,150,一份约150g，作为小吃,烤制,咸鲜,待审核,组合组成项,蛋白质,禽肉,烤鸡架以鸡架烤制，作为蛋白质小吃。
沈阳回头,午餐,200,一份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,回头以麦面煎包制成，作为主食。
沈阳白肉血肠,晚餐,300,一份，可食部分约300g,煮制,咸鲜,待审核,组合组成项,蛋白质,畜肉|动物内脏,白肉血肠以猪肉血肠煮制，作为蛋白质菜肴。
辽西水豆腐,午餐,250,一份约250g,煮制,咸鲜,待审核,组合组成项,蛋白质,大豆及豆制品,水豆腐以豆腐为主料，作为蛋白质菜肴。
抚顺麻辣拌,午餐,300,一份约300g,凉拌,麻辣,待审核,整餐候选,混合主餐,杂豆|叶菜|畜肉,麻辣拌以多种食材拌制，作为整餐混合餐。
抚顺小串,加餐,150,一份约150g（10-12串），作为小吃,烤制,孜然,待审核,组合组成项,蛋白质,畜肉,小串以肉串烤制，作为蛋白质小吃。
鞍山牛庄馅饼,午餐,200,一份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,馅饼以麦面夹馅烙制，作为主食。
本溪小市羊汤,早餐,300,一碗约300g（含汤），作为早餐,煮制,鲜香,待审核,整餐候选,汤羹,畜肉,羊汤以羊肉煮汤，作为整餐汤品。
丹东梭子蟹,晚餐,250,一只/份，可食部分约250g,蒸制,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,梭子蟹以蟹烹制，作为蛋白质菜肴。
营口海蜇,加餐,150,一份约150g，作为凉菜,凉拌,咸鲜,待审核,组合组成项,蛋白质,虾蟹贝类,海蜇以海产凉拌，作为蛋白质小菜。
营口皮皮虾,晚餐,250,一份约250g（8-10只）,蒸制,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,皮皮虾以虾烹制，作为蛋白质菜肴。
盘锦河蟹,晚餐,250,两只/份，可食部分约250g,蒸制,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,河蟹以蟹烹制，作为蛋白质菜肴。
铁岭火勺,早餐,100,两个约100g，作为早餐,烤制,咸鲜,待审核,组合组成项,主食,麦及制品,火勺以麦面烤制，作为主食点心。
朝阳驴肉锅,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质,畜肉,驴肉锅以驴肉炖煮，作为蛋白质菜肴。
